iter	RMSE
0	41.00489947
1	39.66218626
2	38.29535106
3	37.0831597
4	35.94671686
5	34.83708356
6	33.71974829
7	32.62581121
8	31.53535366
9	30.58001732
10	29.70575226
11	28.83323854
12	27.94495662
13	27.01952574
14	26.14714584
15	25.32424152
16	24.50279417
17	23.77121441
18	23.08653512
19	22.40877274
20	21.75641034
21	21.11352138
22	20.4290872
23	19.81252338
24	19.21981395
25	18.63929681
26	18.10927406
27	17.54766789
28	17.01932107
29	16.52263097
30	15.99510963
31	15.50771167
32	15.08002986
33	14.62499528
34	14.20129934
35	13.75888766
36	13.32740495
37	12.93088229
38	12.54770235
39	12.16048235
40	11.81397493
41	11.49144318
42	11.19326349
43	10.89477618
44	10.58517605
45	10.28007179
46	9.981164791
47	9.679022424
48	9.406763307
49	9.121890281
50	8.857434562
51	8.609011744
52	8.364478694
53	8.143226553
54	7.911948919
55	7.706197803
56	7.524392824
57	7.30933419
58	7.117586716
59	6.914740347
60	6.727752684
61	6.560160604
62	6.374536308
63	6.206972079
64	6.052419576
65	5.89844049
66	5.746374847
67	5.611909535
68	5.469597149
69	5.326707633
70	5.197869914
71	5.063356109
72	4.936529192
73	4.825718739
74	4.714388632
75	4.60588593
76	4.505919089
77	4.407689481
78	4.306134398
79	4.20257803
80	4.113710344
81	4.022454665
82	3.927788798
83	3.83383084
84	3.743842762
85	3.664060287
86	3.587685002
87	3.505318117
88	3.432519148
89	3.363538067
90	3.297477039
91	3.226475402
92	3.163059319
93	3.107029634
94	3.048999751
95	2.992300742
96	2.932518196
97	2.870680565
98	2.817303994
99	2.763877044
100	2.707554379
101	2.656476687
102	2.612458501
103	2.568382604
104	2.528935012
105	2.483754101
106	2.441777098
107	2.398616925
108	2.361311213
109	2.324394208
110	2.288934758
111	2.252923589
112	2.217658451
113	2.18524509
114	2.149080692
115	2.118867081
116	2.087315334
117	2.060939217
118	2.035403333
119	2.012298575
120	1.988233437
121	1.961996547
122	1.935430334
123	1.917600161
124	1.895748794
125	1.871149011
126	1.848661039
127	1.824535803
128	1.803086059
129	1.785203087
130	1.766376784
131	1.750813002
132	1.737004005
133	1.719783381
134	1.700819545
135	1.685107651
136	1.668665682
137	1.658089424
138	1.643211903
139	1.627812428
140	1.613641994
141	1.598614018
142	1.586781058
143	1.581412335
144	1.575129115
145	1.571005703
146	1.559969621
147	1.552791292
148	1.547790406
149	1.544403624
150	1.539897657
151	1.536186201
152	1.525002262
153	1.515527282
154	1.504878863
155	1.500749053
156	1.497119407
157	1.491081476
158	1.479049012
159	1.467739093
160	1.464028047
161	1.453915608
162	1.447980636
163	1.444266191
164	1.439066199
165	1.432163388
166	1.421192044
167	1.417883854
168	1.415016788
169	1.41111305
170	1.407551781
171	1.398205079
172	1.387365134
173	1.381531168
174	1.372887012
175	1.370174001
176	1.362465203
177	1.359851056
178	1.35239401
179	1.344909886
180	1.337608943
181	1.334973341
182	1.331932494
183	1.329528628
184	1.327468608
185	1.319553718
186	1.316826131
187	1.309214436
188	1.305930732
189	1.302924024
190	1.300830716
191	1.295367618
192	1.288754415
193	1.286390384
194	1.279231668
195	1.276392179
196	1.270213722
197	1.268289116
198	1.26619019
199	1.26394563
200	1.261589956
201	1.259295685
202	1.257305152
203	1.255123036
204	1.252997555
205	1.245285909
206	1.243760481
207	1.241881075
208	1.2399227
209	1.238414952
210	1.237166261
211	1.235728726
212	1.228704548
213	1.224121242
214	1.222752973
215	1.220464551
216	1.218779249
217	1.216264661
218	1.215003747
219	1.212601572
220	1.211394207
221	1.209634975
222	1.208158362
223	1.202810611
224	1.201391409
225	1.200162628
226	1.194514318
227	1.18819513
228	1.183279376
229	1.179261421
230	1.177367913
231	1.176301288
232	1.17508551
233	1.173901369
234	1.172747976
235	1.167553726
236	1.166443181
237	1.165475109
238	1.164571277
239	1.160621552
240	1.155377876
241	1.154374009
242	1.150811834
243	1.145520886
244	1.144573917
245	1.143651408
246	1.139587515
247	1.135897313
248	1.134539983
249	1.129420422
250	1.128572913
251	1.127984708
252	1.127326386
253	1.122122589
254	1.118302378
255	1.113468486
256	1.109014459
257	1.103803533
258	1.100790158
259	1.100153472
260	1.099423003
261	1.096432752
262	1.093629415
263	1.090859302
264	1.087751378
265	1.083482616
266	1.082825154
267	1.079772663
268	1.075568885
269	1.072898504
270	1.068229942
271	1.067615938
272	1.067018203
273	1.066436266
274	1.065356053
275	1.060595175
276	1.060045765
277	1.057357144
278	1.055229275
279	1.050724665
280	1.048131656
281	1.044330863
282	1.043828571
283	1.043339619
284	1.039981552
285	1.037006104
286	1.035046599
287	1.034589354
288	1.032307051
289	1.031869766
290	1.028381125
291	1.024249138
292	1.022119589
293	1.01833989
294	1.016224402
295	1.014084212
296	1.013689156
297	1.011942917
298	1.011562826
299	1.009472738
300	1.007599102
301	1.003782546
302	1.003426152
303	1.003079322
304	1.002741773
305	0.9996942539
306	0.9993679936
307	0.9954845487
308	0.9927060056
309	0.9901990947
310	0.9883853046
311	0.9880785815
312	0.9877801473
313	0.9867458712
314	0.9832653977
315	0.9829821627
316	0.982706566
317	0.9811377212
318	0.9786521439
319	0.9753813594
320	0.9722609794
321	0.9698564191
322	0.9676901335
323	0.9650765913
324	0.9626553209
325	0.9592132731
326	0.9562197901
327	0.9536576808
328	0.951306775
329	0.9496377253
330	0.9478520002
331	0.9447354209
332	0.9430705814
333	0.9415569021
334	0.9413345995
335	0.9380746737
336	0.9351695171
337	0.9349655887
338	0.9322256086
339	0.9307942695
340	0.927978426
341	0.9272992463
342	0.924217286
343	0.922211342
344	0.9196269136
345	0.9194266604
346	0.9169899883
347	0.9148218122
348	0.9126921535
349	0.9098607523
350	0.9077098597
351	0.90502096
352	0.9027235735
353	0.9007601015
354	0.8972278502
355	0.8955594821
356	0.893245082
357	0.891031949
358	0.8892902313
359	0.887800466
360	0.8851206014
361	0.8827838903
362	0.8808815532
363	0.8790987525
364	0.8767569144
365	0.8747207444
366	0.8723857492
367	0.869335808
368	0.867398745
369	0.8658060491
370	0.863724953
371	0.8622322451
372	0.8600467315
373	0.8583739766
374	0.8553834522
375	0.853572731
376	0.8520372573
377	0.8505366743
378	0.849085652
379	0.8460778292
380	0.8446913996
381	0.841963869
382	0.8405575796
383	0.8381220121
384	0.8361116207
385	0.8323971918
386	0.8299201523
387	0.8279768929
388	0.8262351337
389	0.8240382459
390	0.8222964264
391	0.8205357629
392	0.8188881188
393	0.8168007
394	0.8153610403
395	0.814013134
396	0.8111602303
397	0.809102298
398	0.8070800764
399	0.8049607917
400	0.8022595313
401	0.8011312759
402	0.7998085419
403	0.7978308039
404	0.7956447003
405	0.7928156324
406	0.7901620418
407	0.788728659
408	0.7867257743
409	0.7852494899
410	0.7834160394
411	0.7815915588
412	0.7801489281
413	0.7779322639
414	0.775415946
415	0.7741411883
416	0.7722831989
417	0.7706056273
418	0.7696315565
419	0.7675940037
420	0.7655818509
421	0.7631812062
422	0.7611910871
423	0.7598270503
424	0.7582101935
425	0.7557303947
426	0.7540417215
427	0.7523455643
428	0.7507228549
429	0.7484123137
430	0.7472889294
431	0.7455298739
432	0.7446990355
433	0.7431759391
434	0.7413036204
435	0.7398606006
436	0.7381935783
437	0.7363396009
438	0.7345850058
439	0.732968496
440	0.7311114278
441	0.7293528623
442	0.7272031905
443	0.7260937545
444	0.7249306029
445	0.7231546797
446	0.7221738285
447	0.7212153532
448	0.7198232449
449	0.7185291568
450	0.7164595657
451	0.7152394013
452	0.7138536142
453	0.7130640946
454	0.7118300168
455	0.7109522295
456	0.7094293449
457	0.7079011012
458	0.7066031935
459	0.7050666164
460	0.7040163238
461	0.7031613013
462	0.7011479522
463	0.6994185331
464	0.6983867141
465	0.69697785
466	0.6959024173
467	0.6951342928
468	0.6937856226
469	0.6928410757
470	0.6915608921
471	0.6902772958
472	0.6880272174
473	0.686845248
474	0.6848012011
475	0.6838757195
476	0.6826087522
477	0.6816932781
478	0.6797737551
479	0.6785539506
480	0.6774361444
481	0.676394533
482	0.6750515838
483	0.6744680554
484	0.6738776615
485	0.6733296427
486	0.671530444
487	0.6706282827
488	0.6686027976
489	0.6671864898
490	0.6651493649
491	0.6636970141
492	0.6628778491
493	0.6618751961
494	0.6608735152
495	0.6595577923
496	0.6588376641
497	0.6570775335
498	0.6562561871
499	0.6553911995
500	0.6535290402
501	0.6522067532
502	0.6508499813
503	0.6493183582
504	0.6487752678
505	0.6472715791
506	0.6455492175
507	0.644054804
508	0.6432229064
509	0.6416920614
510	0.640665275
511	0.6395995289
512	0.6381604645
513	0.6364840971
514	0.6349383045
515	0.6343421739
516	0.6332639546
517	0.6319859476
518	0.6305919488
519	0.6295390815
520	0.6285906031
521	0.6277363038
522	0.6268331638
523	0.625892056
524	0.6250988931
525	0.6242329293
526	0.6229637651
527	0.6221027602
528	0.6209954408
529	0.6196807716
530	0.6187834861
531	0.6179020893
532	0.6171709528
533	0.6157423664
534	0.6147739052
535	0.6140096638
536	0.6126235442
537	0.6116029482
538	0.6107224859
539	0.6094245374
540	0.6077603652
541	0.6069106647
542	0.6061434961
543	0.6051512793
544	0.6039662161
545	0.6026474778
546	0.6012570147
547	0.6002291312
548	0.5994758748
549	0.5987931456
550	0.5977349524
551	0.5967948064
552	0.5957026151
553	0.59428221
554	0.5936830873
555	0.5926402852
556	0.591910925
557	0.5911172888
558	0.5898834329
559	0.5893507651
560	0.5884338138
561	0.5879071817
562	0.5869584511
563	0.5861762735
564	0.5856899718
565	0.5845391072
566	0.5837955821
567	0.5831086842
568	0.5819846595
569	0.5809353666
570	0.580160954
571	0.5794222527
572	0.5782785509
573	0.5774472885
574	0.5762351106
575	0.5751401377
576	0.5736865115
577	0.5727658183
578	0.57165677
579	0.5708745255
580	0.5694573507
581	0.5686252326
582	0.5675909938
583	0.5660769558
584	0.5648313475
585	0.5643459376
586	0.5639545365
587	0.5628775481
588	0.5616158472
589	0.5605122039
590	0.5592743623
591	0.5584467607
592	0.5571652207
593	0.5559603723
594	0.5547496191
595	0.5540549527
596	0.5532909502
597	0.5521612808
598	0.5513988628
599	0.5502828453
600	0.5491464431
