iter	Passed	Remaining
0	0	47
1	0	45
2	1	44
3	1	43
4	2	42
5	2	42
6	3	42
7	3	41
8	4	40
9	4	40
10	4	39
11	5	40
12	6	41
13	6	41
14	7	44
15	8	44
16	9	44
17	10	46
18	10	45
19	11	44
20	11	43
21	11	42
22	12	41
23	12	40
24	13	39
25	13	38
26	14	38
27	15	38
28	15	38
29	16	37
30	16	37
31	17	36
32	17	35
33	18	35
34	18	34
35	19	34
36	19	33
37	20	33
38	20	32
39	21	32
40	22	31
41	22	30
42	22	30
43	23	29
44	23	29
45	24	28
46	24	28
47	25	27
48	26	27
49	26	26
50	27	26
51	27	25
52	28	25
53	29	24
54	29	24
55	30	24
56	31	23
57	31	23
58	32	22
59	32	21
60	33	21
61	33	20
62	34	19
63	34	19
64	35	19
65	36	18
66	36	18
67	37	17
68	37	16
69	37	16
70	38	15
71	39	15
72	39	14
73	40	14
74	41	13
75	41	13
76	42	12
77	42	12
78	43	11
79	43	10
80	43	10
81	44	9
82	44	9
83	45	8
84	48	8
85	49	8
86	49	7
87	50	6
88	51	6
89	51	5
90	52	5
91	52	4
92	52	3
93	53	3
94	53	2
95	54	2
96	54	1
97	55	1
98	56	0
99	56	0
